config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(random tree)|NS=6|-,swap,random,6,-,14,8279.0,8103.0,104260,334,4725,4,1.67,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,15,8506.0,7941.0,104260,334,7697,6,1.621,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,16,8506.0,7941.0,104260,334,7697,6,1.618,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,17,8506.0,7941.0,104260,334,7697,6,1.565,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,18,8462.0,7967.0,104260,334,6149,5,1.587,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,19,8520.0,7991.0,104260,334,7678,6,1.591,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,20,8506.0,7941.0,104260,334,7697,6,1.638,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,21,8279.0,8108.0,104260,334,4393,3,1.636,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,22,8220.0,8108.0,104260,334,2197,1,1.613,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,23,8506.0,7941.0,104260,334,7697,6,1.675,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,24,8506.0,7941.0,104260,334,7697,6,1.555,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,25,8518.0,7992.0,104260,334,11207,9,1.526,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,26,8268.0,8096.0,104260,334,3655,3,1.512,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,27,8513.0,7948.0,104260,334,7697,6,1.511,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,28,8506.0,7941.0,104260,334,7697,6,1.521,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=6|-,swap,random,6,-,29,8511.0,7941.0,104260,334,8069,7,1.493,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,0,8147.0,8045.0,104000,1999,2261,2,2.091,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,1,8469.0,7974.0,104000,1999,6149,5,2.229,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,2,8506.0,7941.0,104000,1999,7697,6,2.101,52,0.5,104000,berlin52,True,06f6700
swap(random tree)|NS=1|-,swap,random,1,-,3,8325.0,8213.0,104000,1999,2197,1,2.105,52,0.5,104000,berlin52,True,06f6700
