instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta21,20,20,400,DTSA,17,1985,400120,400000,1667,11.828,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1985,0,0,True
ta21,20,20,400,DTSA,18,1941,400120,400000,1667,11.924,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1941,0,0,True
ta21,20,20,400,DTSA,19,1961,400120,400000,1667,11.982,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:19,1.0,400080,,,,,,DTSA-core,N=40,C1,1961,0,0,True
ta31,30,15,450,DTSA,0,2185,450040,450000,1875,18.052,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:38,1.0,450000,,,,,,DTSA-core,N=40,C1,2185,0,0,True
ta31,30,15,450,DTSA,1,2011,450040,450000,1875,17.696,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:37,1.0,450000,,,,,,DTSA-core,N=40,C1,2011,0,0,True
ta31,30,15,450,DTSA,2,2059,450040,450000,1875,17.993,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:37,1.0,450000,,,,,,DTSA-core,N=40,C1,2059,0,0,True
ta31,30,15,450,DTSA,3,2075,450040,450000,1875,18.688,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:38,1.0,450000,,,,,,DTSA-core,N=40,C1,2075,0,0,True
ta31,30,15,450,DTSA,4,2009,450040,450000,1875,17.357,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:37,1.0,450000,,,,,,DTSA-core,N=40,C1,2009,0,0,True
ta31,30,15,450,DTSA,5,2098,450040,450000,1875,17.742,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:37,1.0,450000,,,,,,DTSA-core,N=40,C1,2098,0,0,True
ta31,30,15,450,DTSA,6,1965,450040,450000,1875,17.688,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:37,1.0,450000,,,,,,DTSA-core,N=40,C1,1965,0,0,True
ta31,30,15,450,DTSA,7,1994,450040,450000,1875,18.029,,,,,40,0.5,6,6,-5.0,5.0,28cc575,2026-07-23T20:50:38,1.0,450000,,,,,,DTSA-core,N=40,C1,1994,0,0,True
