instance,n,m,D,algorithm,seed,cmax,fes_used,max_fes,iters,wall_s,st_sense,operator_space,branch_granularity,strict_fe_cap,N,ST,L,U,dmin,dmax,git_sha,timestamp,fe_per_seed,n_seeds,branch_A_swap,branch_B_sym_shift,branch_C_eq3,branch_D_eq4,branch_E_eq_perdim,config,n_setting,sampler,pre_local_search_cmax,local_search_evals,local_search_moves,seeded_with_mwkr
ta11,20,15,300,DTSA,16,1585,300040,300000,1250,5.743,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:49,1.0,300000,,,,,,DTSA-core,N=40,C3,1585,0,0,True
ta11,20,15,300,DTSA,17,1625,300040,300000,1250,5.764,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:49,1.0,300000,,,,,,DTSA-core,N=40,C3,1625,0,0,True
ta11,20,15,300,DTSA,18,1530,300040,300000,1250,5.761,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:49,1.0,300000,,,,,,DTSA-core,N=40,C3,1530,0,0,True
ta11,20,15,300,DTSA,19,1587,300040,300000,1250,5.648,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:49,1.0,300000,,,,,,DTSA-core,N=40,C3,1587,0,0,True
ta21,20,20,400,DTSA,0,1992,400120,400000,1667,10.237,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:00,1.0,400080,,,,,,DTSA-core,N=40,C3,1992,0,0,True
ta21,20,20,400,DTSA,1,1940,400120,400000,1667,9.841,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:59,1.0,400080,,,,,,DTSA-core,N=40,C3,1940,0,0,True
ta21,20,20,400,DTSA,2,1950,400120,400000,1667,10.095,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:00,1.0,400080,,,,,,DTSA-core,N=40,C3,1950,0,0,True
ta21,20,20,400,DTSA,3,1964,400120,400000,1667,10.21,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:57:00,1.0,400080,,,,,,DTSA-core,N=40,C3,1964,0,0,True
ta21,20,20,400,DTSA,4,1967,400120,400000,1667,9.791,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:59,1.0,400080,,,,,,DTSA-core,N=40,C3,1967,0,0,True
ta21,20,20,400,DTSA,5,1993,400120,400000,1667,9.896,,,,,40,0.5,6,6,-5.0,5.0,5ee1241,2026-07-24T09:56:59,1.0,400080,,,,,,DTSA-core,N=40,C3,1993,0,0,True
